DateTime;Volume
2024-10-30T23:00:00Z;1691.1510787925336
2024-10-31T00:00:00Z;3445.8256005039207
2024-10-31T01:00:00Z;3643.024554500136
2024-10-31T02:00:00Z;3655.6482983537553
2024-10-31T03:00:00Z;4295.397405468413
2024-10-31T04:00:00Z;3797.3774393089016
2024-10-31T05:00:00Z;2456.6580118186394
2024-10-31T06:00:00Z;2690.0071637471424
2024-10-31T07:00:00Z;2637.7018521119207
2024-10-31T08:00:00Z;3526.726114758877
2024-10-31T09:00:00Z;5114.163801294736
2024-10-31T10:00:00Z;3219.2134599187443
2024-10-31T11:00:00Z;2190.8929562489943
2024-10-31T12:00:00Z;2698.161783052765
2024-10-31T13:00:00Z;4647.41613650145
2024-10-31T14:00:00Z;3265.849459704547
2024-10-31T15:00:00Z;3184.6861699971814
2024-10-31T16:00:00Z;2787.7939312002304
2024-10-31T17:00:00Z;1493.1313369388458
2024-10-31T18:00:00Z;2968.95800725713
2024-10-31T19:00:00Z;3872.0119930993683
2024-10-31T20:00:00Z;3297.71814175654
2024-10-31T21:00:00Z;3819.637340179227
2024-10-31T22:00:00Z;4468.987586545129
